Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128701,Bio-chemistry
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128801,Fundamentals of Microbiology
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0159001,Foundation of Physical Education
24-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158001,Contemporary India and Education
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158601,a) ????? (??????? ??? ????????? ?????)
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158603,b) English (Poetry)
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158701,a) Mechanics
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158705,"b) Algae, Lichens and Bryophytes "
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.El.Ed.,1st,Education,0158901,Child Development
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158201,"History, Principles and Foundation of Physical Education "
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.F.A.,1st,Art,0118604,Environmental Studies
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Bio-Technology,0228701,Fundamentals of Computers & Bio-informatics
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Microbiology,0228801,Cell Biology
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,"Physical Education, Health Education & Sports",0259001,Language Comm. & Writing Skill-Sanskrit
13-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258001,Creating an Inclusive School
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258601,a) Hindi ????? (?????? ????? ?????)
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258611,b) Economics (National Income Analysis Money & Banking)
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258701,a) Electromagnetics
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258705,"b) Palaeobotany, Pteridophytes and Gymnosperms "
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,2nd,Education,0258901,Learning Among Elementary Children
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.P.Ed.,2nd,Education,0258201,Sports Training
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458901,Curriculum Studies
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,4th,Art,0418601,History of Modern Indian Art
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458601,Teaching of Social Science
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458701,1-Statistical Mechanics & Thermal Physics
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458704,2-Inorganic Chemistry
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458707,3-Plant Systematics
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458710,4-Ecology and Behavior
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458713,5-Real & Complex Analysis
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Bio-Technology,0328701,Plant Bio-technology
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Microbiology,0328801,Immunology
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,"Physical Education, Health Education & Sports",0359001,"Phychology & Sociology, Physical Education & Sports"
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358601,a) ????? (???? ????? ??? ????? ??? ?????)
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358603,b) English (History of English Literature)
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,3rd,Education,0358701,a) Electronics 
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,3rd,Education,0358705,"b) Cell Biology and Genetics, Plant Breeding and Evolution "
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,3rd,Education,0358901,Basic Concepts of Education
28-Mar-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,3rd,Art,0318601,History of Far Eastern Art
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128702,Bio-physics
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128802,Bacteriology
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0159002,Anatomy And Physiology
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158002,Philosophical & Sociological Perspectives of Education
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158602,????? (????? ???? ?? ?????)
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158604,English (Prose)
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158702,a) Optics
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158706,b) Mycology Microbiology and Phytopathology
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.El.Ed.,1st,Education,0158902,Nature of Language
30-Mar-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158202,Anatomy and Physiology
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Bio-Technology,0228702,Bio-energetics and Bio-membranes
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Microbiology,0228802,Cell Reproduction and Differentiation
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,"Physical Education, Health Education & Sports",0259002,"Health Education, Safety Education First Aid & Rehabilitation "
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258002,"Gender, School and Society "
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258602,????? (????? ??? ???????)
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258702,a) Quantum Mechanics and Spectroscopy
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258706,b) Taxonomy of Angiosperms and Developmental Botany
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,2nd,Education,0258902,Language Acquisition Among Elementary Children
13-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.P.Ed.,2nd,Education,0258202,Computer Applications in Physical Education
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458902,Gender and Schooling
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,4th,Art,0418602,History of Modern Western Art
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458602,Teaching of Hindi
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458702,1- Solid State Physics
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458705,2- Organic Chemistry
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458708,3- Plant Physiology
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458711,4- Applied Zoology
30-Mar-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458714,5- Numerical Analysis
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128703,Cell Biology
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128803,Virology
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0159003,Theory of Games & Sports (Track & Field)
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158003,Growing up as a Learner
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158605,a) Sanskrit
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158607,b) History (Political History of Ancient India)
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158703,Inorganic Chemistry
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.El.Ed.,1st,Education,0158903,Elementary Level Mathematics
2-Apr-26,Thursday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158203,Health Education and Environmental Studies
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Bio-Technology,0328702,Animal Bio-technology
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Microbiology,0328802,Medical Microbiology
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,"Physical Education, Health Education & Sports",0359002,Fundamentals of Sports Training
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,3rd,Education,0358902,School Planning and Management
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,3rd,Art,0318602,Indian Aesthetic
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358602,a) ????? (????? ????? ??? ???? ???? ???????)
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358604,b) English (Indian Writing in English Prose)
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,3rd,Education,0358702,a) Relativity and Electrodynamics
2-Apr-26,Thursday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,3rd,Education,0358706,b) Ecology and Environment Biology
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128704,Microbiology
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128804,"Mycology, Phycology and Protozoology "
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0159004,Theory of Games & Sports (Gymnastics)
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158004,"Teacher, Teaching and Technology "
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158606,a) Sanskrit
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158608,b) History (Political History & India) (from AD 606 to AD 1206)
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158704,Organic Chemistry
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.El.Ed.,1st,Education,0158904,Elementary Level Natural Science
04-Apr-26,Saturday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158204,Yoga Education
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Bio-Technology,0228703,Molecular Biology
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Microbiology,0228803,Microbial Physiology
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,"Physical Education, Health Education & Sports",0259003,Physiology of Exercise
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258003,"Knowledge, Language & Curriculum "
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258603,a) English (Drama)
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258605,b) Sanskrit
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,2nd,Education,0258903,Techniques for Developing Warm Relationship with Children
20-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.P.Ed.,2nd,Education,0258203,Sports Psychology and Sociology
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458903,a) Pedagogy of Language 
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458904,b) Pedagogy of Mathematics
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458905,c) Pedagogy of Natural Science
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458906,d) Pedagogy of Social Science
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,4th,Art,0418603,Advertising Theory
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458603,Teaching of English
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458703,1-Nuclear Physics
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458706,2-Physical Chemistry 
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458709,3-Plant Biotechnology and Molecular Biology 
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458712,4-Biostatistics and Bioinformatics
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458715,5-Metric Space and Topology
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128705,Genetics
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128805,Bio-Chemistry
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0159005,Theory of Games & Sports (Yoga)
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158005,Pedagogy of Hindi
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158609,Political Science (Political Theory)
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158707,a) Animal Diversity and Evolution
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158709,b) Algebra and Coordinate Geometry in Two Dimensions
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.El.Ed.,1st,Education,0158905,Elementary Level Social Science
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158205,Educational Technology and Methods of Teaching in Physical Education
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Bio-Technology,0328703,Molecular Virology
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Microbiology,0328803,Food and Dairy Microbiology
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,"Physical Education, Health Education & Sports",0359003,Kinesiology & Bio-Mechanics
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,3rd,Education,0358903,Logic of Mathematics Education
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,3rd,Art,0318603,Advertising Theory
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358605,a) Sanskrit
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358609,b) History of Modern World (1453-1950 A.D.)
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,3rd,Education,3058703,Inorganic Chemistry
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258703,Organic Chemistry
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Bio-Technology,0228704,Molecular Genetics and Cytogenetics
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Microbiology,0228804,Microbial Metabolism
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,"Physical Education, Health Education & Sports",0259004,Theory of Games & Sports (Track & Field)
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258004,"Work Education, Gandhijis Nai Talim and Community Engagement"
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258604,a) English (Fiction) 
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258606,b) Sanskrit
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258704,Physical Chemistry
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,2nd,Education,0258904,"Identifying Gifted, Creative and Problem Children "
07-Apr-26,Tuesday,Shift-II (03:00 PM - 06:00 PM),B.P.Ed.,2nd,Education,0258204,Measurement and Evaluation in Phys. Education
